,,Real,Imaginary
"669,076,766,967,773","414,586,353,302,002",0.669076767,0.4145863533
"635,234,413,146,973","573,170,328,140,259",0.6352344131,0.5731703281
"620,126,075,744,629","918,877,983,093,262",0.6201260757,0.9188779831
"610,746,459,960,938","101,286,153,793,335",0.61074646,0.1012861538
"594,586,715,698,242","108,662,996,292,114",0.5945867157,0.1086629963
"572,071,685,791,016","113,096,704,483,032",0.5720716858,0.1130967045
"557,045,936,584,473","118,568,849,563,599",0.5570459366,0.1185688496
"543,755,111,694,336","118,470,792,770,386",0.5437551117,0.1184707928
"531,715,927,124,023","119,301,605,224,609",0.5317159271,0.1193016052
"521,098,136,901,855","118,692,636,489,868",0.5210981369,0.1186926365
"511,500,282,287,598","117,142,133,712,769",0.5115002823,0.1171421337
"50,361,083,984,375","11,561,619,758,606",0.05036108398,0.01156161976
"497,055,244,445,801","113,408,699,035,645",0.4970552444,0.113408699
"489,959,907,531,738","111,642,112,731,934",0.4899599075,0.1116421127
"484,395,637,512,207","109,992,084,503,174",0.4843956375,0.1099920845
"479,161,682,128,906","107,856,960,296,631",0.4791616821,0.1078569603
"474,437,866,210,938","105,941,333,770,752",0.4744378662,0.1059413338
"47,036,449,432,373","104,445,610,046,387",0.04703644943,0.10444561
"466,962,814,331,055","102,731,990,814,209",0.4669628143,0.1027319908
"463,264,122,009,277","1,012,082,862,854",0.463264122,0.001012082863
"460,208,015,441,895","996,425,628,662,109",0.4602080154,0.9964256287
"457,439,498,901,367","983,071,517,944,336",0.4574394989,0.9830715179
"45,449,104,309,082","973,725,605,010,986",0.04544910431,0.973725605
"451,816,825,866,699","958,826,637,268,066",0.4518168259,0.9588266373
"449,535,980,224,609","948,020,267,486,572",0.4495359802,0.9480202675
"446,950,645,446,777","937,704,944,610,596",0.4469506454,0.9377049446
"445,108,909,606,934","92,681,713,104,248",0.4451089096,0.0926817131
"443,180,541,992,188","917,598,915,100,098",0.443180542,0.9175989151
"441,001,815,795,898","913,821,601,867,676",0.4410018158,0.9138216019
"439,485,855,102,539","905,144,786,834,717",0.4394858551,0.9051447868
"437,589,263,916,016","89,278,450,012,207",0.4375892639,0.08927845001
"435,773,658,752,441","885,348,320,007,324",0.4357736588,0.88534832
"434,431,037,902,832","880,456,066,131,592",0.4344310379,0.8804560661
"432,916,564,941,406","87,142,858,505,249",0.4329165649,0.08714285851
"431,362,495,422,363","866,195,583,343,506",0.4313624954,0.8661955833
"429,629,249,572,754","858,855,056,762,695",0.4296292496,0.8588550568
"428,754,081,726,074","849,842,357,635,498",0.4287540817,0.8498423576
"427,486,763,000,488","849,331,474,304,199",0.427486763,0.8493314743
"426,325,302,124,023","845,810,222,625,732",0.4263253021,0.8458102226
"424,926,948,547,363","837,818,241,119,385",0.4249269485,0.8378182411
"423,869,094,848,633","831,404,209,136,963",0.4238690948,0.8314042091
"422,558,174,133,301","833,432,483,673,096",0.4225581741,0.8334324837
"421,747,398,376,465","82,393,798,828,125",0.4217473984,0.08239379883
"42,034,294,128,418","819,446,563,720,703",0.04203429413,0.8194465637
"419,102,172,851,563","81,651,439,666,748",0.4191021729,0.08165143967
"418,170,700,073,242","811,041,069,030,762",0.4181707001,0.811041069
"417,214,889,526,367","807,397,842,407,227",0.4172148895,0.8073978424
"416,046,333,312,988","804,651,165,008,545",0.4160463333,0.804651165
"415,020,332,336,426","804,282,093,048,096",0.4150203323,0.804282093
"414,239,120,483,398","796,011,924,743,652",0.4142391205,0.7960119247
"413,211,517,333,984","796,286,296,844,482",0.4132115173,0.7962862968
"412,616,920,471,191","794,269,466,400,146",0.4126169205,0.7942694664
"41,143,009,185,791","792,152,070,999,146",0.04114300919,0.792152071
"410,611,610,412,598","786,128,330,230,713",0.4106116104,0.7861283302
"410,015,640,258,789","782,240,629,196,167",0.4100156403,0.7822406292
"408,954,811,096,191","780,870,628,356,934",0.4089548111,0.7808706284
"408,152,503,967,285","777,757,740,020,752",0.408152504,0.77775774
"407,258,644,104,004","774,026,346,206,665",0.4072586441,0.7740263462
"406,790,390,014,648","774,343,109,130,859",0.40679039,0.7743431091
"406,089,553,833,008","77,130,765,914,917",0.4060895538,0.07713076591
"405,032,806,396,484","770,714,044,570,923",0.4050328064,0.7707140446
"40,431,510,925,293","765,706,729,888,916",0.04043151093,0.7657067299
"403,565,788,269,043","764,983,081,817,627",0.4035657883,0.7649830818
"402,890,968,322,754","759,851,264,953,613",0.4028909683,0.759851265
"402,261,085,510,254","761,026,906,967,163",0.4022610855,0.761026907
"401,555,595,397,949","756,103,467,941,284",0.4015555954,0.7561034679
"400,989,799,499,512","755,377,769,470,215",0.4009897995,0.7553777695
"400,004,463,195,801","753,372,812,271,118",0.4000044632,0.7533728123
"399,390,029,907,227","751,351,881,027,222",0.3993900299,0.751351881
"398,860,244,750,977","750,238,370,895,386",0.3988602448,0.7502383709
"398,002,662,658,691","746,219,968,795,776",0.3980026627,0.7462199688
"397,613,410,949,707","74,151,406,288,147",0.3976134109,0.07415140629
"396,867,179,870,605","739,220,476,150,513",0.3968671799,0.7392204762
"396,282,653,808,594","743,188,047,409,058",0.3962826538,0.7431880474
"395,763,893,127,441","738,932,037,353,516",0.3957638931,0.7389320374
"394,719,848,632,813","736,756,610,870,361",0.3947198486,0.7367566109
"394,295,463,562,012","735,829,401,016,235",0.3942954636,0.735829401
"393,770,446,777,344","734,545,946,121,216",0.3937704468,0.7345459461
"393,477,058,410,645","729,911,708,831,787",0.3934770584,0.7299117088
"392,829,475,402,832","731,513,118,743,896",0.3928294754,0.7315131187
"392,313,270,568,848","731,484,127,044,678",0.3923132706,0.731484127
"391,520,156,860,352","72,488,112,449,646",0.3915201569,0.07248811245
"391,059,608,459,473","726,980,495,452,881",0.3910596085,0.7269804955
"390,821,571,350,098","723,871,898,651,123",0.3908215714,0.7238718987
"389,738,311,767,578","72,087,345,123,291",0.3897383118,0.07208734512
"389,234,733,581,543","720,316,171,646,118",0.3892347336,0.7203161716
"388,899,040,222,168","721,176,767,349,243",0.3888990402,0.7211767673
"388,340,492,248,535","718,418,121,337,891",0.3883404922,0.7184181213
"387,967,338,562,012","715,402,460,098,267",0.3879673386,0.7154024601
"387,321,739,196,777","71,333,703,994,751",0.3873217392,0.07133370399
"387,040,328,979,492","711,292,314,529,419",0.387040329,0.7112923145
"386,388,053,894,043","713,436,889,648,438",0.3863880539,0.7134368896
"386,182,136,535,645","709,711,742,401,123",0.3861821365,0.7097117424
"385,680,885,314,941","706,308,031,082,153",0.3856808853,0.7063080311
"384,851,875,305,176","707,942,247,390,747",0.3848518753,0.7079422474
"384,573,173,522,949","705,393,409,729,004",0.3845731735,0.7053934097
"384,110,107,421,875","704,715,824,127,197",0.3841101074,0.7047158241
"383,554,382,324,219","703,748,464,584,351",0.3835543823,0.7037484646
"383,658,905,029,297","700,711,822,509,766",0.383658905,0.7007118225
"382,942,504,882,813","700,395,631,790,161",0.3829425049,0.7003956318